VALUE	ABB	AVL
1257669049	39	15
24674994	37	15
576693499	36	16
1161941907	35	18
1625395557	43	16
2115979423	36	15
2060512154	36	16
1365880041	35	15
1225924828	46	16
2082911627	33	14
1298406672	34	16
414908834	31	15
1181036751	42	18
1411950074	38	16
1408202146	44	16
1731509249	29	17
1085148417	46	18
846828456	29	16
233484730	32	15
1253178623	33	14
1980363384	36	15
165861316	35	14
1306551010	33	16
1206219798	46	17
1365549625	32	15
1738396561	31	15
1158174022	39	18
574545641	38	16
1129233588	31	17
70811959	41	17
1958339256	30	17
239418990	40	15
95486953	43	15
387549108	35	15
1401360897	37	15
1720882511	28	16
356044883	32	15
1314389403	32	17
939278904	35	16
1581969711	35	16
1249817382	38	16
90201929	49	17
1996878545	40	17
283370485	35	15
1502152003	38	16
1257597044	39	15
2014879734	36	17
439816773	34	15
2104425500	31	15
100880816	43	16
1692995396	31	15
1937305236	29	16
266742132	39	14
852062759	35	17
996041386	41	17
1632291757	37	16
442975672	34	15
6731761	32	17
59353750	45	17
1572209261	39	16
77543720	40	16
2017693006	34	16
1811628251	35	17
173030673	40	16
257758466	37	14
1065505500	34	18
1893913184	35	17
613803349	43	16
232411255	35	16
685708441	43	16
48289413	45	16
1482228637	43	17
775910370	35	17
2045167958	30	16
1765599122	37	14
130578725	41	17
1155281354	42	17
1632995208	33	15
570395498	36	16
1112223206	34	18
1733876024	38	16
115907247	37	16
902044794	42	16
2000618156	29	15
967970006	36	17
1898086181	38	16
1485426265	42	16
1410945678	36	15
1904817942	38	15
1544780015	31	17
835671291	38	18
1982361662	36	17
1414989373	34	16
499815894	39	16
7908687	29	16
1672747840	34	16
1565321394	35	16
1901821872	39	17
139067541	41	15
1797732649	34	17
440046665	34	16
187356954	36	14
1132477638	38	18
1215957035	41	16
85041265	38	16
750593112	32	17
1346535760	39	17
1240322619	42	17
236104672	38	16
1916931259	27	16
205062178	45	16
1969980696	31	15
2032838506	33	16
1107106972	34	18
1823115204	30	16
853324864	40	18
857709505	34	16
1161057821	37	18
116786894	45	17
615043799	41	16
558354188	35	16
952458186	35	16
449921813	37	16
1973343562	36	15
1452274080	47	17
457830501	39	17
1498607754	35	16
870111827	40	16
212168725	42	15
1637675295	36	15
520360828	32	18
652215390	42	16
1825032250	32	17
1652838467	30	16
1868172425	38	15
1910073515	32	16
255947931	39	15
1067224537	40	18
1002912486	39	17
492052604	30	15
836672148	34	18
1207974664	46	16
314549652	32	17
722027006	32	18
167597989	38	16
2137664857	31	17
1575351870	46	15
1025307494	31	17
1151239030	39	16
1692138765	35	16
1640351294	36	16
1709593219	35	17
497113303	35	15
2090273107	33	16
1535453133	41	16
1949387383	37	18
400619960	36	15
886577239	35	15
672015562	33	18
612788685	39	16
376768886	35	16
1192376391	31	17
1265004075	35	16
54317488	41	16
697731210	37	17
985692852	43	16
1964391003	33	17
953679141	37	15
2052917390	30	16
819819842	34	17
1445731745	47	17
742105890	34	17
2027794506	33	15
1760281398	27	15
1464132897	44	16
47908847	45	17
1750462607	38	15
892001119	35	16
1073216342	44	18
754217989	36	16
436656236	34	16
566083988	34	15
316327560	30	16
933769539	35	17
508873447	40	16
1851780693	35	15
735673275	44	18
909493408	41	16
590874284	33	17
1407688837	42	16
1522282093	45	17
967643171	43	18
452581580	34	15
639802521	32	15
1021960659	33	17
1150312790	42	16
1625495373	41	16
838868015	35	17
2103991932	34	15
1530929115	38	17
1658687857	37	16
1402240029	41	14
125551358	35	17
1538998715	41	17
1015037779	38	17
1589684255	39	15
1586907563	36	15
618016738	33	16
334201726	34	16
512640257	34	17
1372234728	36	16
770857963	31	18
1078724245	42	17
1688562288	34	16
1704627502	30	16
1587597692	36	16
1392859334	39	15
292817129	30	16
349607452	32	16
1983733618	31	16
1700505967	35	15
1871889546	33	15
803893141	30	18
5603899	35	17
364208419	33	15
1825853801	33	17
1155916690	43	17
1989703792	37	17
517238168	37	17
1112424974	35	18
1373149260	38	15
28442377	33	16
367181355	37	16
1498700618	39	16
1567441092	41	16
1382219135	50	16
940901225	32	15
1006865007	40	16
2000235873	31	15
1275102951	37	16
1519505264	36	17
1224986953	50	16
2045960914	33	16
